# timestamp tx ty tz qx qy qz qw
1403636858.030881405 4.687127 -1.936785 0.687744 0.0 0.0 0.0 1.0
1403636858.078881264 4.687113 -1.936818 0.687745 0.0 0.0 0.0 1.0
1403636858.129881382 4.687116 -1.936811 0.687744 0.0 0.0 0.0 1.0
1403636858.177881241 4.687095 -1.936851 0.687720 0.0 0.0 0.0 1.0
1403636858.227881193 4.687133 -1.936779 0.687768 0.0 0.0 0.0 1.0
1403636858.278881311 4.687099 -1.936852 0.687742 0.0 0.0 0.0 1.0
1403636858.327881336 4.687100 -1.936839 0.687720 0.0 0.0 0.0 1.0
1403636858.379881382 4.687109 -1.936838 0.687771 0.0 0.0 0.0 1.0
1403636858.477881193 4.687154 -1.936795 0.687926 0.0 0.0 0.0 1.0
1403636858.529881239 4.687185 -1.936765 0.688035 0.0 0.0 0.0 1.0
1403636858.580881357 4.687196 -1.936783 0.688137 0.0 0.0 0.0 1.0
1403636858.631881237 4.687245 -1.936765 0.688382 0.0 0.0 0.0 1.0
1403636858.730881214 4.687475 -1.936325 0.688660 0.0 0.0 0.0 1.0
1403636858.782881260 4.686926 -1.935229 0.689205 0.0 0.0 0.0 1.0
1403636858.832881212 4.688195 -1.935023 0.689716 0.0 0.0 0.0 1.0
1403636858.878881216 4.687895 -1.933747 0.691268 0.0 0.0 0.0 1.0
1403636858.930881262 4.689057 -1.932093 0.694059 0.0 0.0 0.0 1.0
1403636858.980881214 4.690783 -1.929545 0.698012 0.0 0.0 0.0 1.0
1403636859.032881260 4.692236 -1.925812 0.703960 0.0 0.0 0.0 1.0
1403636859.080881357 4.693008 -1.921469 0.710942 0.0 0.0 0.0 1.0
1403636859.179881334 4.695234 -1.912020 0.727414 0.0 0.0 0.0 1.0
1403636859.232881308 4.696781 -1.906710 0.737025 0.0 0.0 0.0 1.0
1403636859.330881357 4.699226 -1.896466 0.753595 0.0 0.0 0.0 1.0
1403636859.379881382 4.698377 -1.891007 0.761882 0.0 0.0 0.0 1.0
1403636859.478881359 4.701772 -1.884945 0.782135 0.0 0.0 0.0 1.0
1403636859.529881239 4.702580 -1.882728 0.795999 0.0 0.0 0.0 1.0
1403636859.578881264 4.703553 -1.880692 0.811762 0.0 0.0 0.0 1.0
1403636859.630881310 4.703958 -1.878333 0.830619 0.0 0.0 0.0 1.0
1403636859.679881334 4.703418 -1.876031 0.851204 0.0 0.0 0.0 1.0
1403636859.728881359 4.697139 -1.872162 0.873535 0.0 0.0 0.0 1.0
1403636859.779881239 4.695320 -1.870726 0.896685 0.0 0.0 0.0 1.0
1403636859.831881285 4.693391 -1.869591 0.920801 0.0 0.0 0.0 1.0
